Date,Open,High,Low,Close
2016/10/24,103.85,104.317,103.724,104.234
2016/10/25,104.235,104.874,104.121,104.217
2016/10/26,104.218,104.619,104.027,104.481
2016/10/27,104.483,105.35,104.302,105.255
2016/10/28,105.255,105.527,104.475,104.714
2016/10/31,104.62,105.232,104.529,104.852
2016/11/1,104.853,105.112,103.803,103.997
2016/11/2,103.998,104.166,103.03,103.346
2016/11/3,103.347,103.443,102.553,102.952
2016/11/4,102.913,103.355,102.844,103.106
2016/11/7,103.864,104.631,103.842,104.528
2016/11/8,104.535,105.24,104.303,105.128
2016/11/9,105.117,105.888,101.166,105.655
2016/11/10,105.656,106.947,104.98,106.791
2016/11/11,106.791,106.932,106.041,106.781
2016/11/14,106.825,108.541,106.741,108.293
2016/11/15,108.294,109.336,107.779,109.045
2016/11/16,109.042,109.756,108.802,108.879
2016/11/17,108.879,110.337,108.562,110.219
2016/11/18,110.21,110.918,109.806,110.823
2016/11/21,110.911,111.35,110.463,110.804
2016/11/22,110.812,111.355,110.275,111.12
2016/11/23,111.119,112.972,110.86,112.477
2016/11/24,112.528,113.528,112.417,113.312
2016/11/25,113.312,113.899,112.562,113.086
2016/11/28,112.876,112.974,111.363,111.829
2016/11/29,111.825,113.336,111.625,112.515
2016/11/30,112.516,114.535,112.07,114.379
2016/12/1,114.379,114.828,113.852,114.18
2016/12/2,114.179,114.191,113.333,113.562
2016/12/5,113.042,114.774,113.006,113.812
2016/12/6,113.812,114.187,113.504,114.028
2016/12/7,114.03,114.394,113.416,113.639
2016/12/8,113.639,114.373,113.141,114.13
2016/12/9,114.129,115.368,114.015,115.249
2016/12/12,115.455,116.125,114.743,114.847
2016/12/13,114.848,115.477,114.783,115.246
2016/12/14,115.252,117.384,114.773,117.233
2016/12/15,117.23,118.656,117.109,118.26
2016/12/16,118.236,118.422,117.494,117.907
2016/12/19,117.876,117.882,116.55,117.089
2016/12/20,117.106,118.243,116.991,117.881
2016/12/21,117.893,118.069,117.113,117.475
2016/12/22,117.478,117.877,117.278,117.549
2016/12/23,117.566,117.611,117.178,117.383
2016/12/27,117.122,117.616,117.112,117.46
2016/12/28,117.452,117.814,116.848,117.061
2016/12/29,117.062,117.156,116.237,116.556
2016/12/30,116.557,117.197,116.051,116.875
2017/1/2,116.882,117.661,116.882,117.316
2017/1/3,117.314,118.606,117.226,117.698
2017/1/4,117.696,118.188,117.061,117.273
2017/1/5,117.276,117.431,115.231,115.445
2017/1/6,115.445,117.177,115.075,116.996
2017/1/9,117.138,117.532,115.676,115.914
2017/1/10,115.921,116.343,115.202,115.833
2017/1/11,115.834,116.848,114.256,115.41
2017/1/12,115.407,115.416,113.771,114.69
2017/1/13,114.723,115.444,114.183,114.551
2017/1/16,114.421,114.463,113.691,114.084
2017/1/17,114.083,114.281,112.577,112.775
2017/1/18,112.793,114.755,112.645,114.554
2017/1/19,114.555,115.618,114.418,115.058
2017/1/20,115.055,115.376,114.224,114.498
2017/1/23,114.394,114.396,112.541,112.559
2017/1/24,112.558,113.893,112.528,113.864
2017/1/25,113.864,113.99,113.046,113.333
2017/1/26,113.341,114.853,113.055,114.549
2017/1/27,114.541,115.375,114.399,115.13
2017/1/30,114.894,114.955,113.459,113.738
2017/1/31,113.739,113.962,112.087,112.674
2017/2/1,112.674,113.954,112.657,113.287
2017/2/2,113.287,113.363,112.06,112.864
2017/2/3,112.866,113.454,112.326,112.694
2017/2/6,112.561,112.772,111.629,111.817
2017/2/7,111.803,112.511,111.604,112.315
2017/2/8,112.315,112.545,111.643,111.845
